state,element,prob
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0.099
1,11,0.112
1,12,0.097
1,13,0.083
1,14,0.084
1,15,0.066
1,16,0.084
1,17,0.103
1,18,0.081
1,19,0.101
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,0.002
1,31,0.001
1,32,0.002
1,33,0.001
1,34,0.004
1,35,0.002
1,36,0.001
1,37,0.002
1,38,0.002
1,39,0
1,40,0.001
1,41,0.002
1,42,0.005
1,43,0.001
1,44,0.003
1,45,0.001
1,46,0
1,47,0
1,48,0
1,49,0
1,50,0
1,51,0
1,52,0
1,53,0
1,54,0
1,55,0
1,56,0
1,57,0
1,58,0
1,59,0
1,60,0.002
1,61,0
1,62,0.003
1,63,0.001
1,64,0.002
1,65,0.002
1,66,0.002
1,67,0.001
1,68,0.003
1,69,0.004
1,70,0.005
1,71,0
1,72,0.002
1,73,0.001
1,74,0.001
1,75,0.001
1,76,0
1,77,0
1,78,0
1,79,0
1,80,0.002
1,81,0.005
1,82,0.002
1,83,0.002
1,84,0.001
1,85,0.001
1,86,0.001
1,87,0.002
1,88,0.003
1,89,0.003
1,90,0.001
1,91,0.002
1,92,0.001
1,93,0.001
1,94,0.001
1,95,0.002
1,96,0
1,97,0
1,98,0
1,99,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0.004
2,11,0.001
2,12,0.005
2,13,0.003
2,14,0.002
2,15,0.005
2,16,0.004
2,17,0.003
2,18,0.003
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0.064
2,31,0.056
2,32,0.055
2,33,0.062
2,34,0.068
2,35,0.067
2,36,0.053
2,37,0.055
2,38,0.07
2,39,0.033
2,40,0.047
2,41,0.051
2,42,0.059
2,43,0.051
2,44,0.052
2,45,0.067
2,46,0
2,47,0
2,48,0
2,49,0
2,50,0
2,51,0
2,52,0
2,53,0
2,54,0
2,55,0
2,56,0
2,57,0
2,58,0
2,59,0
2,60,0.001
2,61,0.003
2,62,0.002
2,63,0.002
2,64,0
2,65,0.003
2,66,0.001
2,67,0.002
2,68,0.002
2,69,0.003
2,70,0.001
2,71,0.005
2,72,0.002
2,73,0.001
2,74,0.001
2,75,0.001
2,76,0
2,77,0
2,78,0
2,79,0
2,80,0
2,81,0.002
2,82,0.003
2,83,0.002
2,84,0.001
2,85,0.001
2,86,0.001
2,87,0.003
2,88,0.002
2,89,0.001
2,90,0.003
2,91,0.001
2,92,0.001
2,93,0.002
2,94,0.004
2,95,0.003
2,96,0
2,97,0
2,98,0
2,99,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0.002
3,11,0.004
3,12,0.002
3,13,0.003
3,14,0.002
3,15,0.002
3,16,0.001
3,17,0.005
3,18,0.003
3,19,0.006
3,20,0
3,21,0
3,22,0
3,23,0
3,24,0
3,25,0
3,26,0
3,27,0
3,28,0
3,29,0
3,30,0.003
3,31,0.001
3,32,0.002
3,33,0.005
3,34,0.001
3,35,0.002
3,36,0
3,37,0.002
3,38,0.002
3,39,0
3,40,0.001
3,41,0
3,42,0.004
3,43,0
3,44,0.003
3,45,0.004
3,46,0
3,47,0
3,48,0
3,49,0
3,50,0
3,51,0
3,52,0
3,53,0
3,54,0
3,55,0
3,56,0
3,57,0
3,58,0
3,59,0
3,60,0.05
3,61,0.054
3,62,0.051
3,63,0.05
3,64,0.066
3,65,0.055
3,66,0.06
3,67,0.065
3,68,0.064
3,69,0.065
3,70,0.056
3,71,0.066
3,72,0.049
3,73,0.051
3,74,0.057
3,75,0.051
3,76,0
3,77,0
3,78,0
3,79,0
3,80,0.002
3,81,0.002
3,82,0
3,83,0.001
3,84,0.002
3,85,0.002
3,86,0.002
3,87,0.002
3,88,0.002
3,89,0
3,90,0.001
3,91,0.004
3,92,0.002
3,93,0.002
3,94,0.004
3,95,0.002
3,96,0
3,97,0
3,98,0
3,99,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0.001
4,11,0.004
4,12,0.003
4,13,0.007
4,14,0.002
4,15,0.003
4,16,0.002
4,17,0.003
4,18,0.004
4,19,0.001
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0
4,25,0
4,26,0
4,27,0
4,28,0
4,29,0
4,30,0.002
4,31,0.002
4,32,0.003
4,33,0.001
4,34,0.002
4,35,0.001
4,36,0
4,37,0.003
4,38,0.004
4,39,0.003
4,40,0.002
4,41,0.001
4,42,0.002
4,43,0.001
4,44,0.002
4,45,0.001
4,46,0
4,47,0
4,48,0
4,49,0
4,50,0
4,51,0
4,52,0
4,53,0
4,54,0
4,55,0
4,56,0
4,57,0
4,58,0
4,59,0
4,60,0.002
4,61,0
4,62,0.002
4,63,0.003
4,64,0.002
4,65,0
4,66,0.002
4,67,0.002
4,68,0.003
4,69,0.003
4,70,0
4,71,0.002
4,72,0.002
4,73,0.002
4,74,0.003
4,75,0.002
4,76,0
4,77,0
4,78,0
4,79,0
4,80,0.055
4,81,0.075
4,82,0.046
4,83,0.049
4,84,0.05
4,85,0.056
4,86,0.064
4,87,0.071
4,88,0.041
4,89,0.065
4,90,0.05
4,91,0.073
4,92,0.042
4,93,0.067
4,94,0.056
4,95,0.05
4,96,0
4,97,0
4,98,0
4,99,0
