element,state,count
1,1,0
1,2,0
1,3,0
1,4,0
2,1,0
2,2,0
2,3,0
2,4,0
3,1,0
3,2,0
3,3,0
3,4,0
4,1,0
4,2,0
4,3,0
4,4,0
5,1,0
5,2,0
5,3,0
5,4,0
6,1,0
6,2,0
6,3,0
6,4,0
7,1,0
7,2,0
7,3,0
7,4,0
8,1,0
8,2,0
8,3,0
8,4,0
9,1,0
9,2,0
9,3,0
9,4,0
10,1,99
10,2,4
10,3,2
10,4,1
11,1,112
11,2,1
11,3,4
11,4,4
12,1,97
12,2,5
12,3,2
12,4,3
13,1,83
13,2,3
13,3,3
13,4,7
14,1,84
14,2,2
14,3,2
14,4,2
15,1,66
15,2,5
15,3,2
15,4,3
16,1,84
16,2,4
16,3,1
16,4,2
17,1,103
17,2,3
17,3,5
17,4,3
18,1,81
18,2,3
18,3,3
18,4,4
19,1,101
19,2,0
19,3,6
19,4,1
20,1,0
20,2,0
20,3,0
20,4,0
21,1,0
21,2,0
21,3,0
21,4,0
22,1,0
22,2,0
22,3,0
22,4,0
23,1,0
23,2,0
23,3,0
23,4,0
24,1,0
24,2,0
24,3,0
24,4,0
25,1,0
25,2,0
25,3,0
25,4,0
26,1,0
26,2,0
26,3,0
26,4,0
27,1,0
27,2,0
27,3,0
27,4,0
28,1,0
28,2,0
28,3,0
28,4,0
29,1,0
29,2,0
29,3,0
29,4,0
30,1,2
30,2,64
30,3,3
30,4,2
31,1,1
31,2,56
31,3,1
31,4,2
32,1,2
32,2,55
32,3,2
32,4,3
33,1,1
33,2,62
33,3,5
33,4,1
34,1,4
34,2,68
34,3,1
34,4,2
35,1,2
35,2,67
35,3,2
35,4,1
36,1,1
36,2,53
36,3,0
36,4,0
37,1,2
37,2,55
37,3,2
37,4,3
38,1,2
38,2,70
38,3,2
38,4,4
39,1,0
39,2,33
39,3,0
39,4,3
40,1,1
40,2,47
40,3,1
40,4,2
41,1,2
41,2,51
41,3,0
41,4,1
42,1,5
42,2,59
42,3,4
42,4,2
43,1,1
43,2,51
43,3,0
43,4,1
44,1,3
44,2,52
44,3,3
44,4,2
45,1,1
45,2,67
45,3,4
45,4,1
46,1,0
46,2,0
46,3,0
46,4,0
47,1,0
47,2,0
47,3,0
47,4,0
48,1,0
48,2,0
48,3,0
48,4,0
49,1,0
49,2,0
49,3,0
49,4,0
50,1,0
50,2,0
50,3,0
50,4,0
51,1,0
51,2,0
51,3,0
51,4,0
52,1,0
52,2,0
52,3,0
52,4,0
53,1,0
53,2,0
53,3,0
53,4,0
54,1,0
54,2,0
54,3,0
54,4,0
55,1,0
55,2,0
55,3,0
55,4,0
56,1,0
56,2,0
56,3,0
56,4,0
57,1,0
57,2,0
57,3,0
57,4,0
58,1,0
58,2,0
58,3,0
58,4,0
59,1,0
59,2,0
59,3,0
59,4,0
60,1,2
60,2,1
60,3,50
60,4,2
61,1,0
61,2,3
61,3,54
61,4,0
62,1,3
62,2,2
62,3,51
62,4,2
63,1,1
63,2,2
63,3,50
63,4,3
64,1,2
64,2,0
64,3,66
64,4,2
65,1,2
65,2,3
65,3,55
65,4,0
66,1,2
66,2,1
66,3,60
66,4,2
67,1,1
67,2,2
67,3,65
67,4,2
68,1,3
68,2,2
68,3,64
68,4,3
69,1,4
69,2,3
69,3,65
69,4,3
70,1,5
70,2,1
70,3,56
70,4,0
71,1,0
71,2,5
71,3,66
71,4,2
72,1,2
72,2,2
72,3,49
72,4,2
73,1,1
73,2,1
73,3,51
73,4,2
74,1,1
74,2,1
74,3,57
74,4,3
75,1,1
75,2,1
75,3,51
75,4,2
76,1,0
76,2,0
76,3,0
76,4,0
77,1,0
77,2,0
77,3,0
77,4,0
78,1,0
78,2,0
78,3,0
78,4,0
79,1,0
79,2,0
79,3,0
79,4,0
80,1,2
80,2,0
80,3,2
80,4,55
81,1,5
81,2,2
81,3,2
81,4,75
82,1,2
82,2,3
82,3,0
82,4,46
83,1,2
83,2,2
83,3,1
83,4,49
84,1,1
84,2,1
84,3,2
84,4,50
85,1,1
85,2,1
85,3,2
85,4,56
86,1,1
86,2,1
86,3,2
86,4,64
87,1,2
87,2,3
87,3,2
87,4,71
88,1,3
88,2,2
88,3,2
88,4,41
89,1,3
89,2,1
89,3,0
89,4,65
90,1,1
90,2,3
90,3,1
90,4,50
91,1,2
91,2,1
91,3,4
91,4,73
92,1,1
92,2,1
92,3,2
92,4,42
93,1,1
93,2,2
93,3,2
93,4,67
94,1,1
94,2,4
94,3,4
94,4,56
95,1,2
95,2,3
95,3,2
95,4,50
96,1,0
96,2,0
96,3,0
96,4,0
97,1,0
97,2,0
97,3,0
97,4,0
98,1,0
98,2,0
98,3,0
98,4,0
99,1,0
99,2,0
99,3,0
99,4,0
